Gene1,Gene2
EIF5B,RPL18A
EIF5B,RPL19
EIF5B,RPL23
EIF5B,RPL3
EIF5B,RPL37
EIF5B,RPL37A
EIF5B,RPL38
EIF5B,RPL4
EIF5B,RPL5
EIF5B,RPL8
EIF5B,RPLP0
EIF5B,RPLP1
EIF5B,RPS15
EIF5B,RPS17
EIF5B,RPS21
EIF5B,RPS3
ELL2,TCEB3
CUL2,EPAS1
EPAS1,TCEB1
EPAS1,TCEB2
EPAS1,TEK
EPAS1,VEGFC
EPAS1,VHL
CUL4A,ERCC8
DCAF11,ERCC8
DCAF13,ERCC8
DCAF4,ERCC8
ERCC8,EWSR1
ERCC8,NCOA3
ERCC8,NFE2
ERCC8,POLD1
ERCC8,POLR2B
ERCC8,POLR2D
ERCC8,POLR2E
ERCC8,POLR2F
ERCC8,POLR2G
ERCC8,POLR2H
ERCC8,POLR2I
ERCC8,POLR2J
ERCC8,POLR2K
ERCC8,TCEA1
ERCC8,XAB2
ERCC8,XPC
1810027O10RIK,ESR1
2310003F16RIK,ESR1
2310016M24RIK,ESR1
ABL1,ESR1
AIP,ESR1
ALDOA,ESR1
ANXA6,ESR1
APBB1,ESR1
APOE,ESR1
ATP11C,ESR1
ATP5A1,ESR1
ATP5H,ESR1
CAMK2D,ESR1
CCDC56,ESR1
CHMP3,ESR1
COX6C,ESR1
CRBN,ESR1
CREB5,ESR1
DNMT3A,ESR1
EEF1G,ESR1
EGR1,ESR1
EGR2,ESR1
ESR1,GATAD2A
ESR1,GGTA1
ESR1,GPSM2
ESR1,GTF2A1
ESR1,ICA1
ESR1,KCTD12
ESR1,LDB1
ESR1,LPL
ESR1,MDM2
ESR1,MOGS
ESR1,MYL10
ESR1,NDRG2
ESR1,NDUFB8
ESR1,NEAT1
ESR1,NFX1
ESR1,NOTCH1
ESR1,NUDT19
ESR1,PCYT2
ESR1,PHF5A
ESR1,PMP22
ESR1,POLD4
ESR1,PRR5
ESR1,PSMD1
ESR1,PSMF1
ESR1,RASIP1
ESR1,RASSF5
ESR1,RHOG
ESR1,SH3BGRL3
ESR1,SIDT2
ESR1,SMARCC2
ESR1,SMARCE1
ESR1,SOCS2
ESR1,SRGN
ESR1,STMN1
ESR1,TERF2IP
ESR1,TIMM10
ESR1,TPP1
ESR1,UBTF
ESR1,USF2
ESR1,USP8
ESR1,VEGFC
ESR1,XK
ACTB,ETS1
AP2S1,ETS1
ARID2,ETS1
ATP13A1,ETS1
ATP2A3,ETS1
CASP1,ETS1
CCL3,ETS1
CDC45,ETS1
CFDP1,ETS1
CKS1B,ETS1
CSGALNACT2,ETS1
DDX1,ETS1
DNAJC2,ETS1
DNTT,ETS1
DPP8,ETS1
EAF1,ETS1
EBI3,ETS1
EIF5A,ETS1
ELANE,ETS1
ETS1,FAM168B
ETS1,FCGRT
ETS1,FGL2
ETS1,FIS1
ETS1,GABARAPL2
ETS1,GATA1
ETS1,GATA2
ETS1,GFI1
ETS1,GGH
ETS1,GNAI3
ETS1,H47
ETS1,HARS
ETS1,HDAC1
ETS1,ITFG1
ETS1,KDM5A
ETS1,KIT
ETS1,KRT18
ETS1,MAPK1
ETS1,MAPK3
ETS1,MEA1
ETS1,MEF2A
ETS1,MRC1
ETS1,MTMR4
ETS1,MTOR
ETS1,MTPN
ETS1,MYC
ETS1,MYEOV2
ETS1,MYL6
ETS1,NRAS
ETS1,PAFAH1B2
ETS1,PFN1
ETS1,PHAX
ETS1,PLD3
ETS1,PLEKHO2
ETS1,PRDX5
ETS1,PRELID1
ETS1,PRKAB1
ETS1,PRTN3
ETS1,PSEN1
ETS1,PSMB7
ETS1,PSMD6
ETS1,RPL26
ETS1,RPL32
ETS1,RPL6
ETS1,RRAS
ETS1,RUNX1
ETS1,SDHB
ETS1,SGPP1
ETS1,SLC25A38
ETS1,SLC25A5
ETS1,SNRPG
ETS1,SUPT5H
ETS1,SUPT6H
ETS1,TBPL1
ETS1,TCOF1
ETS1,TFG
ETS1,TIE1
ETS1,TMEM208
ETS1,TMEM68
ETS1,TMEM85
ETS1,TOMM40
ETS1,TRAPPC1
ETS1,UBR1
ETS1,ZFP322A
ETS1,ZFP36
ETS1,ZFP36L1
ETS1,ZFP655
ETS2,LASS2
ETS2,MAPK1
ETS2,MAPK3
ETS2,MYC
ETS2,SMARCA4
ETS2,SMARCB1
ETS2,SMARCE1
ETS2,TBPL1
ETS2,TIE1
EWSR1,HDAC10
EWSR1,JARID2
EWSR1,LASS2
EWSR1,LASS5
EWSR1,MED16
EWSR1,PER1
EWSR1,POLR2B
EWSR1,POLR3F
EWSR1,PWP1
EWSR1,RAI14
EWSR1,RORC
EWSR1,SIRT2
EWSR1,TRPS1
EWSR1,UBP1
EWSR1,XAB2
EWSR1,YWHAE
EWSR1,ZDHHC6
BAP1,EZH2
BUB1B,EZH2
CDK1,EZH2
CUL3,EZH2
EZH2,H3F3A
EZH2,HDAC1
EZH2,HDAC2
EZH2,JARID2
EZH2,MAPK14
EZH2,MCM2
EZH2,MCM3
EZH2,MCM4
EZH2,MCM6
EZH2,MCM7
EZH2,MKI67
EZH2,MORC3
EZH2,PCNA
EZH2,POLR2A
EZH2,PRIM1
EZH2,RBBP4
EZH2,RBBP7
EZH2,RBL2
EZH2,RRM1
EZH2,SUZ12
EZH2,TOP2A
EZH2,TRIM35
EZH2,UHRF1
CEBPA,FLI1
FLI1,RUNX1
ABCF3,FOS
ANXA3,FOS
APOA1BP,FOS
ARID1B,FOS
ABCF3,FOSB
BACH1,FOS
ANXA3,FOSB
BACH1,FOSB
BHLHE40,FOSB
BTK,FOSB
BUD31,FOSB
BC028528,FOS
CLIC1,FOSB
CLU,FOSB
COL5A1,FOSB
CPNE8,FOSB
CTNNA1,FOSB
E2F6,FOSB
EEF1A1,FOSB
EFTUD2,FOSB
EIF1AX,FOSB
EIF4E,FOSB
ELF4,FOSB
EWSR1,FOSB
EYA1,FOSB
F3,FOSB
FLI1,FOSB
FOSB,FTL1
FOSB,GADD45B
FOSB,GSTP1
FOSB,HDAC1
FOSB,HDAC2
BHLHE40,FOS
FOSB,HSPA5
FOSB,ICA1
FOSB,IRF6
FOSB,JUN
FOSB,JUNB
FOSB,LGALS1
FOSB,LMNA
FOSB,LSP1
FOSB,LY9
FOSB,MALT1
FOSB,MAPK12
FOSB,MAPK14
FOSB,MAPK9
FOSB,MBNL1
FOSB,NFKB1
FOSB,NOTCH1
FOSB,OBSCN
FOSB,PDIA3
FOSB,PGD
FOSB,PLEC
FOSB,PLP2
FOSB,POLD4
FOSB,POLR2H
FOSB,PPP2R1B
FOSB,PROCR
FOSB,PSMC2
FOSB,RAB27B
FOSB,RBBP7
FOSB,RELA
FOSB,REXO2
FOSB,RNF115
FOSB,S100A4
FOSB,SCARF1
FOSB,SLAMF9
FOSB,SLC3A2
FOSB,SMARCA2
FOSB,SMARCB1
FOSB,SOX6
FOSB,TCF12
BTK,FOS
FOSB,TMEM33
FOSB,TUBA4A
FOSB,TUBB4B
FOSB,TUBB6
FOSB,UBC
BUD31,FOS
FOSB,UNK
FOSB,VAPA
FOSB,VDR
FOSB,ZFP36
FOSB,ZYX
CCL3,FOS
CCL4,FOS
CCNA2,FOS
CDC42,FOS
CERK,FOS
CIC,FOS
CLIC1,FOS
CLU,FOS
COL5A1,FOS
CPNE8,FOS
CTNNA1,FOS
DUSP1,FOS
E2F6,FOS
EEF1A1,FOS
EFTUD2,FOS
EIF1AX,FOS
EIF4E,FOS
ELF4,FOS
EWSR1,FOS
EYA1,FOS
F3,FOS
FLI1,FOS
FOS,FTL1
FOS,GABARAPL2
FOS,GADD45B
FOS,GLIS2
FOS,GSTP1
FOS,HHEX
FOS,HSPA5
FOS,ICA1
FOS,IL12A
FOS,IL1A
FOS,IL1B
FOS,IRF6
FOS,IRF9
FOS,JUNB
FOSL2,MAPK12
FOSL2,MAPK14
FOSL2,MAPK9
FOS,LAPTM5
FOS,LMNA
FOS,LPL
FOS,LSP1
FOS,LY9
FOS,MALT1
FOS,MAPK1
FOS,MAPK12
FOS,MAPK14
FOS,MAPK3
FOS,MAPK9
FOS,MBNL1
FOS,MFNG
FOS,MT2
FOS,MTCH2
FOS,MYC
FOS,MYST2
FOS,NOTCH1
FOS,NRAS
FOS,NUCB2
FOS,OBSCN
FOS,OPTN
FOS,PDGFRB
FOS,PDIA3
FOS,PGD
FOS,PIK3R1
FOS,PIM2
FOS,PLEC
FOS,PLP2
FOS,POLD4
FOS,POLR2H
FOS,PPP2R1B
FOS,PROCR
FOS,PRPS1
FOS,PSMC2
FOS,PSMC5
FOS,RAB27B
FOS,RAB37
FOS,RBBP7
FOS,REXO2
FOS,RNF115
FOS,RPL36A
FOS,S100A4
FOS,SCARF1
FOS,SERTAD2
FOS,SIRT7
FOS,SLAMF9
FOS,SLC3A2
FOS,SMARCA2
FOS,SMARCA4
FOS,SMARCA5
FOS,SMARCB1
FOS,SNAPC5
FOS,SOD2
FOS,SOX6
FOS,STAT1
FOS,STX17
FOS,TCF12
FOS,TEC
FOS,TLR2
FOS,TLR4
FOS,TMEM33
FOS,TNF
FOS,TUBA4A
FOS,TUBB4B
FOS,TUBB6
FOS,UBC
FOS,UNK
FOS,VAPA
FOS,VDR
FOS,VEGFC
FOS,ZFP36
FOS,ZYX
FOXN2,NFE2
ANKRD44,FOXO1
BTG1,FOXO1
CCDC112,FOXO1
CD44,FOXO1
CREB5,FOXO1
CSF1R,FOXO1
CTNNB1,FOXO1
CTSL,FOXO1
DACH1,FOXO1
DDB1,FOXO1
EFNA1,FOXO1
FLI1,FOXO1
FOXO1,FOXRED1
FOXO1,GABARAP
FOXO1,GFI1B
FOXO1,GNA13
FOXO1,H2-DMA
FOXO1,HBP1
FOXO1,HNF4A
FOXO1,ICA1
FOXO1,ID2
FOXO1,INHBA
FOXO1,IPCEF1
FOXO1,IRF4
FOXO1,ITGB7
FOXO1,LMNA
FOXO1,LMO4
FOXO1,MAFF
FOXO1,MDH1
FOXO1,MIR17HG
FOXO1,MRPS18C
FOXO1,MTOR
FOXO1,NFATC1
FOXO1,ORC2
FOXO1,PHACTR2
FOXO1,PITPNC1
FOXO1,RPL34
FOXO1,RPS17
FOXO1,RUNX1T1
FOXO1,SESN1
FOXO1,SGK1
FOXO1,SIRT2
FOXO1,SLAMF9
FOXO1,SLC25A21
FOXO1,SLC39A10
FOXO1,SORL1
FOXO1,SOX6
FOXO1,SQSTM1
FOXO1,STAT3
FOXO1,STT3A
FOXO1,SZT2
FOXO1,TBC1D15
FOXO1,TCP11L2
FOXO1,TGIF1
FOXO1,TMEM50A
FOXO1,TNF
FOXO1,TRERF1
FOXO1,TRMT2A
FOXO1,TRP53I11
FOXO1,VAMP3
FOXO1,VAMP5
FOXO1,VEGFC
FOXO1,YPEL5
FOXO1,ZBTB16
CYFIP2,FXR1
1500003O03RIK,GATA1
2410015M20RIK,GATA1
2610307P16RIK,GATA1
ABCF3,GATA1
ABL1,GATA1
ACLY,GATA1
AEBP2,GATA1
AI413582,GATA1
ALDH18A1,GATA1
ALDH1A1,GATA1
ALG9,GATA1
ANGPT1,GATA1
ARHGAP29,GATA1
ARID3B,GATA1
ARL6IP1,GATA1
ATF3,GATA1
ATP5G3,GATA1
ATP5H,GATA1
ATP6V0D2,GATA1
BC028528,GATA1
BC056474,GATA1
BLNK,GATA1
BLVRB,GATA1
BMI1,GATA1
BTRC,GATA1
CAMSAP2,GATA1
CCDC136,GATA1
CCDC72,GATA1
CCNF,GATA1
CCNG2,GATA1
CDCA7,GATA1
CDK6,GATA1
CDKN1C,GATA1
CELA1,GATA1
CENPL,GATA1
CERK,GATA1
CHD1,GATA1
CHMP2A,GATA1
CIC,GATA1
CKS1B,GATA1
CNOT7,GATA1
CNRIP1,GATA1
CREB3,GATA1
CREM,GATA1
CRIP1,GATA1
CSGALNACT1,GATA1
CTNNAL1,GATA1
CXXC1,GATA1
D1ERTD622E,GATA1
DAB2,GATA1
DDX5,GATA1
DENND2D,GATA1
DNAJC9,GATA1
DNASE1L1,GATA1
DNMT3A,GATA1
DNTT,GATA1
DUSP1,GATA1
DUSP2,GATA1
ECH1,GATA1
EHMT1,GATA1
EHMT2,GATA1
EIF4A1,GATA1
EMP3,GATA1
EPOR,GATA1
FBXW5,GATA1
FCGR2B,GATA1
FKBP2,GATA1
FOS,GATA1
GABARAP,GATA1
GATA1,GATA2
GATA1,GCNT2
GATA1,GFI1B
GATA1,GLT25D1
GATA1,GNGT2
GATA1,GPX1
GATA1,HARS
GATA1,HDAC1
GATA1,HDAC2
GATA1,HDAC7
GATA1,HDAC9
GATA1,HEMGN
GATA1,HHEX
GATA1,HNRNPC
GATA1,ID2
GATA1,IDH3G
GATA1,IKZF2
GATA1,IL17RE
GATA1,IQGAP1
GATA1,ITSN1
GATA1,JUN
GATA1,KCTD12
GATA1,KDM2B
GATA1,KDM6B
GATA1,KEL
GATA1,KLF1
GATA1,KLF4
GATA1,KLHL6
GATA1,KRTCAP2
GATA1,LDB1
GATA1,LMO4
GATA1,LSMD1
GATA1,LSP1
GATA1,MBD2
GATA1,MBNL1
GATA1,MED1
GATA1,MEIS1
GATA1,MIR17HG
GATA1,MLLT3
GATA1,MTA2
GATA1,NADK
GATA1,NCAPD2
GATA1,NDUFA7
GATA1,NDUFB11
GATA1,NFKB1
GATA1,NRAS
GATA1,OAZ1
GATA1,OSGIN1
GATA1,PAPOLA
GATA1,PDCD4
GATA1,PDE4B
GATA1,PER1
GATA1,PHACTR2
GATA1,PHKB
GATA1,PKLR
GATA1,PLEKHG6
GATA1,PLXNC1
GATA1,PPP2R5C
GATA1,PPP6C
GATA1,PRDX4
GATA1,PRDX5
GATA1,PRELID1
GATA1,PRPF40A
GATA1,PSMC6
GATA1,PTPN12
GATA1,PTPN7
GATA1,RAB27B
GATA1,RAB31
GATA1,RARB
GATA1,RB1
GATA1,RBBP4
GATA1,RBBP7
GATA1,RFESD
GATA1,RHD
GATA1,RNF122
GATA1,RNF38
GATA1,RORA
GATA1,RPL23A
GATA1,RPL8
GATA1,RPS17
GATA1,RPS25
GATA1,RPS26
GATA1,RUNX1
GATA1,RUNX1T1
GATA1,SALL2
GATA1,SATB1
GATA1,SCRN1
GATA1,SDHB
GATA1,SEC13
GATA1,SFPI1
GATA1,SFPQ
GATA1,SKI
GATA1,SLC14A1
GATA1,SLC25A4
GATA1,SLC29A1
GATA1,SLC35D3
GATA1,SLC40A1
GATA1,SLC7A11
GATA1,SMARCA4
GATA1,SMARCA5
GATA1,SNAPC5
GATA1,SNCA
GATA1,SNRNP200
GATA1,SOX6
GATA1,SP1
GATA1,SQLE
GATA1,SRSF1
GATA1,SRSF2
GATA1,SSR4
GATA1,ST3GAL6
GATA1,STXBP4
GATA1,SYNJ1
GATA1,TBPL1
GATA1,TCP11L2
GATA1,TEK
GATA1,TERF2IP
GATA1,TMEM14C
GATA1,TNFAIP8
GATA1,TOMM70A
GATA1,TPI1
GATA1,TRAPPC4
GATA1,TRP53
GATA1,TUBB4B
GATA1,UBE2G2
GATA1,UCKL1
GATA1,UQCRQ
GATA1,UROD
GATA1,USP11
GATA1,VAMP3
GATA1,VPS41
GATA1,WDR6
GATA1,ZHX1
ALDH18A1,GATA2
ALG9,GATA2
ATP5H,GATA2
CCDC72,GATA2
CCNG2,GATA2
CDK6,GATA2
CENPL,GATA2
CRIP1,GATA2
DDX5,GATA2
DNAJC9,GATA2
DNMT3A,GATA2
DUSP1,GATA2
DUSP2,GATA2
ECH1,GATA2
EIF4A1,GATA2
FCGR2B,GATA2
FOS,GATA2
GATA2,HDAC7
GATA2,HLF
GATA2,ID2
GATA2,JUN
GATA2,KLF1
GATA2,MED1
GATA2,NADK
GATA2,NFATC1
GATA2,OAZ1
GATA2,OSGIN1
GATA2,PKLR
GATA2,PLEKHG6
GATA2,PRELID1
GATA2,PSMC6
GATA2,RARB
GATA2,RFESD
GATA2,RHD
GATA2,RNF122
GATA2,RPL8
GATA2,RPS26
GATA2,RUNX1
GATA2,RUNX1T1
GATA2,SDHB
GATA2,SEC13
GATA2,SFPQ
GATA2,SNCA
GATA2,SNRNP200
GATA2,ST3GAL6
GATA2,TCP11L2
GATA2,TEK
GATA2,TMEM14C
GATA2,TRAPPC4
GATA2,TRP53
GATA2,VAMP3
GATA2,ZBTB16
CBX5,GATAD2A
GATAD2A,HDAC1
GATAD2A,HDAC10
GATAD2A,HDAC11
GATAD2A,HDAC2
GATAD2A,HDAC7
GATAD2A,MBD2
GATAD2A,MORF4L1
GATAD2A,MTA2
GATAD2A,RBBP4
GATAD2A,RBBP7
GFI1B,HDAC1
GFI1B,HDAC2
GFI1B,HMG20B
GFI1B,RCOR1
GFI1,JUN
GFI1,RELA
GFI1,SFPI1
GFI1,TRP53
GFI1,VDR
GTF2A1,GTF2B
GTF2A1,GTF2E1
GTF2A1,GTF2F1
GTF2A1,ING1
GTF2A1,POLR2B
GTF2A1,POLR2D
GTF2A1,POLR2E
GTF2A1,POLR2F
GTF2A1,POLR2G
GTF2A1,POLR2H
GTF2A1,POLR2I
GTF2A1,POLR2J
GTF2A1,POLR2K
GTF2A1,TAF1
GTF2A1,TAF6
GTF2A1,TAF9
GMNN,GTF2B
GTF2B,GTF2E1
GTF2B,GTF2F1
GTF2B,POLD1
GTF2B,POLR2B
GTF2B,POLR2D
GTF2B,POLR2E
GTF2B,POLR2F
GTF2B,POLR2G
GTF2B,POLR2H
GTF2B,POLR2I
GTF2B,POLR2J
GTF2B,POLR2K
GTF2B,SSU72
GTF2B,TAF1
GTF2B,TAF6
GTF2B,TAF9
GTF2B,VDR
GTF2E1,GTF2E2
GTF2E1,GTF2F1
GTF2E1,NCOA3
GTF2E1,NFE2
GTF2E1,PDIA3
GTF2E1,PML
GTF2E1,POLR2B
GTF2E1,POLR2D
GTF2E1,POLR2E
GTF2E1,POLR2F
GTF2E1,POLR2G
GTF2E1,POLR2H
GTF2E1,POLR2I
GTF2E1,POLR2J
GTF2E1,POLR2K
GTF2E1,SND1
GTF2E1,TAF1
GTF2E1,TAF6
GTF2E1,TAF9
GTF2E1,TARDBP
GTF2E1,ZBTB43
GTF2E2,KHDRBS1
GTF2E2,NFE2
GTF2E2,PML
GTF2E2,SND1
GTF2E2,TARDBP
0610009D07RIK,GTF2F1
CSTF2,GTF2F1
EFTUD2,GTF2F1
GTF2F1,HNRNPA2B1
GTF2F1,HNRNPF
GTF2F1,PCBP2
GTF2F1,POLR2B
GTF2F1,POLR2D
GTF2F1,POLR2E
GTF2F1,POLR2F
GTF2F1,POLR2G
GTF2F1,POLR2H
GTF2F1,POLR2I
GTF2F1,POLR2J
GTF2F1,POLR2K
GTF2F1,PRPF4
GTF2F1,RDBP
GTF2F1,SF3B3
GTF2F1,SF3B5
GTF2F1,SNRNP200
GTF2F1,SNRPD1
GTF2F1,SNRPG
GTF2F1,SRSF1
GTF2F1,SRSF6
GTF2F1,SRSF9
GTF2F1,SUPT4H1
GTF2F1,SUPT5H
GTF2F1,TAF1
GTF2F1,TAF6
GTF2F1,TAF9
GTF2F1,TCEA1
GTF2F1,TCEB1
GTF2F1,TCEB2
GTF2F1,TCEB3
GTF2H1,NFE2
BTK,GTF2I
GTF2I,SMAD4
GTF3C3,LZTS1
GTF3C3,POLR2E
GTF3C3,POLR2F
GTF3C3,POLR2H
GTF3C3,POLR2K
GTF3C3,POLR3F
GTF3C3,POLR3K
CDK1,H1F0
HAX1,HCLS1
HAX1,PLCG2
HAX1,STAT3
BAP1,HCFC1
CDK1,HCFC1
CSNK2B,HCFC1
HCFC1,NDN
HCFC1,RUNX1
CD53,HCLS1
CORO1A,HCLS1
DNM1L,HCLS1
HCLS1,IL10RA
HCLS1,LCK
HCLS1,LRRC33
HCLS1,LYN
HCLS1,NCF4
HCLS1,NFE2
HCLS1,PLD4
HCLS1,RAC2
HCLS1,SASH3
HCLS1,SYK
HCLS1,TYROBP
CBX5,HDAC10
H2AFV,HDAC10
H2AFX,HDAC10
H2AFY,HDAC10
HDAC1,HDAC10
HDAC10,HDAC11
HDAC10,HDAC2
HDAC10,HDAC7
HDAC10,HIST1H2BC
HDAC10,MBD2
HDAC10,MORF4L1
HDAC10,MTA2
HDAC10,RBBP4
HDAC10,RBBP7
HDAC10,ZFP275
CBX5,HDAC11
CDT1,HDAC11
H2AFV,HDAC11
H2AFX,HDAC11
H2AFY,HDAC11
HDAC1,HDAC11
HDAC11,HDAC2
HDAC11,HDAC7
HDAC11,HIST1H2BC
HDAC11,MBD2
HDAC11,MORF4L1
HDAC11,MTA2
HDAC11,RBBP4
HDAC11,RBBP7
CBX5,HDAC1
CCNE1,HDAC1
CUL3,HDAC1
FOS,HDAC1
H2AFV,HDAC1
H2AFX,HDAC1
H2AFY,HDAC1
H3F3A,HDAC1
HDAC1,HDAC2
HDAC1,HDAC7
HDAC1,HDAC9
HDAC1,HIST1H2BC
HDAC1,IFRD1
HDAC1,IKZF1
HDAC1,KLF13
HDAC1,KLF6
HDAC1,MBD2
HDAC1,MECOM
HDAC1,MORF4L1
HDAC1,MTA2
HDAC1,NFKB1
HDAC1,PHB2
HDAC1,PPIA
HDAC1,PPP1CA
HDAC1,RB1
HDAC1,RBBP4
HDAC1,RBBP7
HDAC1,RBPJ
HDAC1,RELA
HDAC1,RUNX1
HDAC1,SIN3B
HDAC1,SMAD4
HDAC1,SMARCA4
HDAC1,TCF7L2
HDAC1,TRP53
HDAC1,UBTF
HDAC1,ZBTB16
HDAC1,ZBTB7A
BAP1,HDAC2
CBX5,HDAC2
H2AFV,HDAC2
H2AFX,HDAC2
H2AFY,HDAC2
H3F3A,HDAC2
HDAC2,HDAC7
HDAC2,HDAC9
HDAC2,HIST1H2BC
HDAC2,IKZF1
HDAC2,MBD2
HDAC2,MECOM
HDAC2,MORF4L1
HDAC2,MTA2
HDAC2,PARP1
HDAC2,PML
HDAC2,RB1
HDAC2,RBBP4
HDAC2,RBBP7
HDAC2,RBPJ
HDAC2,RUNX1
HDAC2,SFPI1
HDAC2,SMARCA2
HDAC2,SMARCB1
HDAC2,SMARCE1
HDAC2,SUZ12
HDAC2,TCF7L2
CBX5,HDAC7
DNAJB6,HDAC7
H2AFV,HDAC7
H2AFX,HDAC7
H2AFY,HDAC7
HDAC7,HIST1H2BC
HDAC7,MAML3
HDAC7,MBD2
HDAC7,MEF2C
HDAC7,MITF
HDAC7,MORF4L1
HDAC7,MTA2
HDAC7,NOTCH1
HDAC7,RBBP4
HDAC7,RBBP7
HDAC7,YWHAE
H2AFV,HDAC9
H2AFX,HDAC9
H2AFY,HDAC9
HDAC9,HIST1H2BC
HDAC9,UBB
CASP3,HDGF
HHEX,JUN
ALDOA,HIF1A
ANGPT1,HIF1A
BCL2,HIF1A
BHLHE40,HIF1A
BID,HIF1A
CDKN1A,HIF1A
CTSD,HIF1A
CUL2,HIF1A
ENO1,HIF1A
HIF1A,HIF3A
HIF1A,HK2
HIF1A,HK3
HIF1A,IL17RA
HIF1A,ITGB2
HIF1A,KRT18
HIF1A,LDHA
HIF1A,MAPK14
HIF1A,MED1
HIF1A,MTOR
HIF1A,NCOA3
HIF1A,NCOA6
HIF1A,NOTCH1
HIF1A,NRAS
HIF1A,P4HB
HIF1A,PGK1
HIF1A,PLAUR
HIF1A,PPARGC1A
HIF1A,RORC
HIF1A,SUMO1
HIF1A,TCEB1
HIF1A,TCEB2
HIF1A,TEK
HIF1A,TFRC
HIF1A,TNF
HIF1A,TRF
HIF1A,TRP53
HIF1A,TXN1
HIF1A,VEGFC
HIF3A,TCEB1
HIF3A,TCEB2
HIF3A,VHL
BUB1B,HIST1H1C
HIST1H1C,NASP
HMG20A,TRAF1
HMG20B,RCOR1
HMG20B,TRAF1
HMGA1,RB1
AURKA,HMGB2
BIRC5,HMGB2
BUB1B,HMGB2
CCNA2,HMGB2
CCNB1,HMGB2
CCNB2,HMGB2
CDC20,HMGB2
CDCA5,HMGB2
CDK1,HMGB2
CDT1,HMGB2
CKS2,HMGB2
HMGB2,KIF22
HMGB2,MCM2
HMGB2,MCM3
HMGB2,MCM4
HMGB2,MCM6
HMGB2,MCM7
HMGB2,MKI67
HMGB2,NCAPG
HMGB2,PBK
HMGB2,PCNA
HMGB2,PLK1
HMGB2,PRIM1
HMGB2,RACGAP1
HMGB2,RRM2
HMGB2,SHCBP1
HMGB2,TIPIN
HMGB2,TOP2A
HMGB2,UBE2C
HMGB2,UHRF1
HNF4A,MED1
HNF4A,NR4A1
HNF4A,RORC
HNF4A,TCF7L2
HNF4A,THRB
HNF4A,VDR
HNRNPAB,YWHAE
HNRNPD,LDHA
HNRNPD,PRMT5
CUL3,HNRNPK
HNRNPK,LYN
ANGPT1,HOXA9
ARL6IP1,HOXA9
ARPP21,HOXA9
ATP6V1C1,HOXA9
BAP1,HOXA9
CYTH3,HOXA9
DACH1,HOXA9
EIF1AD,HOXA9
EIF2S1,HOXA9
EIF4ENIF1,HOXA9
FCHO2,HOXA9
GMFG,HOXA9
H2AFX,HOXA9
HDAC9,HOXA9
HOXA9,IFRD2
HOXA9,IL1R1
HOXA9,JUN
HOXA9,LRRC14
HOXA9,MEIS1
HOXA9,MTA2
HOXA9,NDUFB5
HOXA9,NDUFC1
HOXA9,NFKBIA
HOXA9,PABPC1
HOXA9,PBX1
HOXA9,PHAX
HOXA9,PIK3R1
HOXA9,POLR2B
HOXA9,POLR2I
HOXA9,RB1
HOXA9,RPS19
HOXA9,SATB1
HOXA9,SESN1
HOXA9,SPRYD4
HOXA9,SYK
HOXA9,TXNDC11
HOXA9,ZEB2
HOXA9,ZFHX3
HOXA9,ZFP36L1
CDKN1A,ID2
ID2,MYC
ID2,PPP1CA
ID2,RB1
ID2,SDC1
ID2,SFPI1
COPS6,ID3
ID3,RUNX1T1
ID3,TCF12
AEBP2,IKZF1
BCL2,IKZF1
C330018D20RIK,IKZF1
CHD7,IKZF1
CWC15,IKZF1
DENND2D,IKZF1
EGR1,IKZF1
EZR,IKZF1
FAU,IKZF1
FOSL2,IKZF1
GANAB,IKZF1
IFRD2,IKZF1
IKZF1,JUP
IKZF1,MAPK14
IKZF1,MPZL1
IKZF1,NCAPD2
IKZF1,NDRG1
IKZF1,NME2
IKZF1,PPIA
IKZF1,PTP4A3
IKZF1,RASSF4
IKZF1,RNF19A
IKZF1,RPL34
IKZF1,SLC43A2
IKZF1,SMARCA2
IKZF1,SMARCA4
IKZF1,SQRDL
IKZF1,STIP1
IKZF1,TRMT2A
IKZF1,TUBB4B
IKZF1,ZFP148
IKZF1,ZFP36L1
ING1,PCNA
ANKFY1,IRF1
APP,IRF1
ARHGEF6,IRF1
ASF1B,IRF1
B2M,IRF1
BACE1,IRF1
BC028528,IRF1
BST2,IRF1
CD274,IRF1
CD44,IRF1
CHD4,IRF1
CHMP5,IRF1
COL4A1,IRF1
CXCL16,IRF1
EIF2S1,IRF1
EPAS1,IRF1
ESR1,IRF1
ETS2,IRF1
EYA1,IRF1
F3,IRF1
FOSL2,IRF1
GBP3,IRF1
GRINA,IRF1
H2-AA,IRF1
H2-K1,IRF1
H3F3B,IRF1
ICAM1,IRF1
IDH1,IRF1
IFT140,IRF1
IGTP,IRF1
IPCEF1,IRF1
IRF1,IRF2
IRF1,IRF4
IRF1,IRF5
IRF1,IRF6
IRF1,IRF7
IRF1,IRF8
IRF1,IRF9
IRF1,LGALS3BP
IRF1,LY86
IRF1,MEF2A
IRF1,MT2
IRF1,N6AMT2
IRF1,OAS3
IRF1,PIK3R1
IRF1,PLXNC1
IRF1,PML
IRF1,POLR2A
IRF1,PRDM16
IRF1,PSMA3
IRF1,PSMB10
IRF1,PSME2
IRF1,RPL37A
IRF1,RTP4
IRF1,RUNX1T1
IRF1,SAT1
IRF1,STAT3
IRF1,SUMO1
IRF1,TAPBP
IRF1,TFG
